Country,patents_number,Year,ISO,Total Deaths,total_affected,total_damage,Tertiary,GDP,Population,FDI,consumption
north macedonia,0.0,2004,mkd,15.0,100000.0,5578.0,27.4246597290039,2795.8973746002835,2032544.0,309137638.54,98.415875435385
north macedonia,0.0,2005,mkd,1.0,2003.0,0.0,29.0530300140381,3072.679611630931,2036855.0,145329601.532,96.3805775384426
north macedonia,0.0,2006,mkd,0.0,1500.0,0.0,28.5933895111084,3362.9707162242535,2040228.0,427444589.2688,95.5605662405925
north macedonia,1.0,2007,mkd,1.0,1000202.0,0.0,34.5610008239746,4079.390433970418,2043559.0,733466879.0,94.1473199799404
north macedonia,0.0,2009,mkd,15.0,38.0,0.0,39.420539855957,4584.71243091987,2050671.0,259530321.486,95.8231835261998
north macedonia,0.0,2012,mkd,1.0,5100.0,0.0,39.6751708984375,4728.313078506758,2061044.0,337911248.192572,92.539152308856
north macedonia,0.0,2013,mkd,1.0,4911.0,0.0,38.5747909545898,5241.053638600849,2064032.0,402458309.805886,89.2566314199697
north macedonia,0.0,2014,mkd,0.0,8800.0,0.0,38.7814712524414,5495.731400129969,2067471.0,60879915.45137,86.9169931258777
north macedonia,0.0,2015,mkd,21.0,105030.0,107423.0,41.060920715332,4861.556159842234,2070226.0,296604200.381223,85.818689910082
north macedonia,0.0,2017,mkd,3.0,2220.0,0.0,40.9570503234863,5450.497035297519,2074502.0,380738977.544776,81.5729017353011
north macedonia,3.0,2019,mkd,13.0,30.0,0.0,39.7398986816406,6070.388053582747,2076694.0,549500829.87779,79.5000021654927
north macedonia,0.0,2021,mkd,15.0,80000.0,0.0,40.5491714477539,6694.641125817087,2065092.0,696255528.136466,83.6128310947771
malaysia,0.0,1980,mys,3.0,3200.0,0.0,3.96008992195129,1852.963366831945,13215707.0,933903976.260897,67.0762362122008
malaysia,0.0,1983,mys,10.0,15000.0,0.0,4.46171998977661,2123.2585973212613,14292862.0,1260527733.35506,67.3911191868718
malaysia,0.0,1984,mys,200.0,6.0,0.0,4.99935007095337,2311.1707058045067,14686454.0,797476861.322828,64.531741043369
malaysia,0.0,1986,mys,11.0,25000.0,30705.0,6.96317005157471,1782.5424797232872,15558740.0,488874111.042602,67.9190993658686
malaysia,0.0,1987,mys,3.0,3576.0,2223.0,7.5546498298645,2007.1726540135328,16033103.0,422679709.984833,63.0486526484553
malaysia,0.0,1988,mys,57.0,60300.0,0.0,7.55089998245239,2134.5188735743277,16524616.0,719418050.366902,63.4318501678034
malaysia,0.0,1989,mys,48.0,0.0,0.0,6.75051021575928,2282.47025147258,17020143.0,1667871568.72095,64.0645044805337
malaysia,0.0,1991,mys,439.0,3811.0,0.0,8.23200988769531,2727.5285852808283,18017464.0,3998448522.46006,65.8691276161156
malaysia,0.0,1993,mys,179.0,25000.0,0.0,9.74913024902344,3511.5326289218447,19050077.0,5005642759.8826,60.9161759410897
malaysia,0.0,1994,mys,72.0,0.0,0.0,10.7396898269653,3802.1076207945375,19588703.0,4341800916.32297,60.4013076777465
malaysia,0.0,1995,mys,52.0,3042.0,34569.0,11.5790195465088,4405.116763956343,20136888.0,4178239335.0381,60.2949571408665
malaysia,0.5,1998,mys,143.0,7660.0,3591.0,22.888219833374,3308.835652999352,21810542.0,2163401815.57573,51.3297769053428
malaysia,2.0,1999,mys,1.0,2000.0,0.0,23.906400680542,3538.3629928858745,22368655.0,3895263157.89474,52.5661315848971
malaysia,0.0,2000,mys,84.0,9488.0,1700.0,27.0150604248047,4087.562593493844,22945150.0,3787631578.94737,53.9196017968524
malaysia,0.5,2001,mys,25.0,33200.0,0.0,26.4246406555176,3941.122666213687,23542517.0,553947368.421053,58.161716948542
malaysia,3.0,2002,mys,12.0,155.0,0.0,28.7301807403564,4177.10494176499,24142445.0,3192894736.8421,57.9680230054826
malaysia,7.0,2003,mys,10.0,18803.0,0.0,31.4712009429932,4454.526763836562,24739411.0,3218947368.42105,57.5448516962812
malaysia,2.0,2004,mys,97.0,77101.0,790191.0,30.2977600097656,4924.338111265821,25333247.0,4376052631.57895,56.5778149048198
malaysia,2.0,2005,mys,13.0,30600.0,0.0,27.6870899200439,5536.837970412456,25923536.0,3924786634.73868,55.6600892604189
malaysia,2.5,2006,mys,6.0,106518.0,31938.0,28.2458801269531,6137.150609674764,26509413.0,7690731245.66747,55.5026609292474
malaysia,15.5,2007,mys,102.0,166533.0,1366290.0,29.8576602935791,7143.999445559121,27092604.0,9071369834.83859,56.7194216490817
malaysia,19.8333,2008,mys,0.0,8000.0,0.0,33.2592582702637,8343.302548039552,27664296.0,7572512432.33635,56.2109957932279
malaysia,29.0,2009,mys,0.0,10875.0,0.0,35.2378311157227,7167.8773758324705,28217204.0,114664434.56228,61.8896917614613
malaysia,31.0,2010,mys,26.0,11.0,0.0,36.6847114562988,8880.146039642881,28717731.0,10885801851.6194,60.697755388747
malaysia,26.5,2011,mys,18.0,20006.0,0.0,35.6598587036133,10209.371909401887,29184133.0,15119439203.9543,61.2386521053861
malaysia,46.1667,2013,mys,104.0,75207.0,2513.0,38.2327194213867,10727.670553305372,30134807.0,11296279513.9209,65.525900881001
malaysia,41.3333,2014,mys,337.0,2430000.0,351083.0,38.6768264770508,11045.580976532201,30606459.0,10619431582.9781,65.747625499009
malaysia,30.0,2015,mys,86.0,3010.0,2.0,44.8695030212402,9699.584908732164,31068833.0,9857162111.82329,67.048427458933
malaysia,24.5,2016,mys,46.0,31875.0,160955.0,46.401668548584,9555.647334786827,31526418.0,13470089920.807,67.3526071177979
malaysia,18.0,2017,mys,84.0,22409.0,0.0,43.6680450439453,9979.704756841948,31975806.0,9368469822.66146,67.5843449032434
malaysia,17.5,2018,mys,2.0,16900.0,0.0,45.2784156799316,11073.97859430062,32399271.0,8304480741.65267,69.395262701878
malaysia,24.5,2019,mys,2.0,24832.0,0.0,43.1977157592773,11132.103453205167,32804020.0,9154921685.03934,71.4247879477463
malaysia,22.5,2020,mys,0.0,21883.0,7689.0,42.4097671508789,10160.829346559214,33199993.0,4058769678.64231,73.9743024691118
malaysia,10.3333,2021,mys,117.0,164841.0,1576841.0,40.9142608642578,11109.265288174653,33573874.0,20245157326.8024,70.6640230538611
moldova,0.0,2000,mda,2.0,2600000.0,53704.0,32.9970512390137,440.53868398037235,2924668.0,127540000.0,103.01591342283
moldova,1.0,2002,mda,1.0,500.0,1354.0,32.1918487548828,570.7998661882931,2911385.0,84050000.0,103.251549996458
moldova,0.0,2005,mda,0.0,6500.0,11617.0,36.0984306335449,1034.3919774699293,2888985.0,190700000.0,109.870487623499
moldova,3.0,2006,mda,13.0,0.0,0.0,39.4024505615234,1183.0247843977304,2880967.0,258680000.0,113.894829512446
moldova,0.0,2007,mda,0.0,210394.0,573051.0,41.20458984375,1531.216189298076,2874299.0,536020000.0,113.453234138125
moldova,0.0,2008,mda,3.0,4000.0,0.0,39.9985008239746,2110.553117960594,2868833.0,726610000.0,113.555462318426
moldova,0.4286,2010,mda,1.0,12000.0,0.0,38.1453590393066,2436.7993586401044,2862354.0,297050000.0,108.426839057791
moldova,0.0,2012,mda,21.0,13204.0,0.0,40.1086387634277,3044.8084787624766,2860324.0,251200000.0,109.842189419998
moldova,0.0,2019,mda,0.0,5460.0,0.0,54.7745704650879,4404.950422495968,2664224.0,507170000.0,100.146405316596
pakistan,0.0,1977,pak,848.0,1022000.0,0.0,1.95977997779846,208.77612019941733,72451105.0,15223204.0146096,90.2028741619254
pakistan,0.0,1978,pak,393.0,2246000.0,0.0,2.08587002754211,238.1558325434277,74789330.0,32273192.5109724,92.0667596719861
pakistan,0.0,1979,pak,113.0,3300.0,0.0,2.06703996658325,254.34776061334853,77407341.0,58254127.3625728,93.661339558269
pakistan,0.0,1980,pak,93.0,86223.0,0.0,2.01178002357483,293.3918897736,80624057.0,63632992.7810683,93.0467719137924
pakistan,0.0,1986,pak,117.0,1000.0,0.0,2.82945990562439,317.02979833839,100618523.0,105730331.820871,89.0506324193636
pakistan,0.0,1987,pak,78.0,0.0,0.0,2.80859994888306,319.9153919152374,104251093.0,129377643.59248,86.143945891465
pakistan,0.0,1988,pak,486.0,1016000.0,10344.0,3.18139004707336,356.33521538438805,107967838.0,186491557.33337,87.5523587147555
pakistan,0.0,1990,pak,551.0,990.0,2240.0,2.92652988433838,346.6685155209078,115414069.0,245262963.460759,86.5217660521787
pakistan,0.0,1992,pak,1875.0,12842430.0,2086154.0,2.00996994972229,399.4655861139588,122375179.0,336479857.130617,83.0058982074237
pakistan,0.0,2003,pak,699.0,1269004.0,0.0,2.38838005065918,549.8703769758105,166876680.0,534000000.0,85.0060085539803
pakistan,0.0,2004,pak,274.0,13575.0,0.0,3.0025999546051,631.4711707784285,170648620.0,1118000000.0,86.3116264745906
pakistan,0.0,2005,pak,74710.0,12659596.0,7837430.0,4.37540006637573,688.5005879377429,174372098.0,2201000000.0,89.108370456535
pakistan,0.0,2006,pak,642.0,8277.0,0.0,4.45320987701416,770.8433393583247,178069984.0,4273000000.0,89.6696102538863
pakistan,0.0,2007,pak,988.0,1653011.0,2748273.0,5.02788019180298,837.6315379272945,181924521.0,5590000000.0,90.0017921196628
pakistan,0.0,2008,pak,302.0,366143.0,153598.0,4.97444009780884,914.7314893037343,185931955.0,5438000000.0,92.6009042323283
pakistan,0.0,2009,pak,244.0,75381.0,0.0,6.09046983718872,884.4410141704395,190123222.0,2338000000.0,90.9671774955537
pakistan,0.0,2011,pak,646.0,5401830.0,3252600.0,7.46075391769409,1075.4510201549615,198602738.0,1326000000.0,90.7658983164543
pakistan,0.0,2012,pak,1125.0,5050613.0,3186657.0,8.49672698974609,1109.6787352145632,202205861.0,859000000.0,92.4020606160805
pakistan,0.6667,2013,pak,797.0,1698760.0,2010017.0,8.89682579040527,1126.0407760640055,205337562.0,1333000000.0,91.5528987486174
pakistan,0.0,2014,pak,703.0,2532882.0,2494665.0,8.92643165588379,1173.3923092440934,208251628.0,1887000000.0,92.1723256670507
pakistan,0.0,2015,pak,2044.0,2160478.0,1235.0,8.61171054840088,1282.4430258399766,210969298.0,1673000000.0,90.9281147306088
pakistan,0.0,2016,pak,661.0,11621.0,2439.0,8.47824573516846,1468.8220769089194,213524840.0,2576000000.0,91.2923980648585
pakistan,0.0,2017,pak,488.0,65837.0,131332.0,8.80055046081543,1567.6406196989517,216379655.0,2496000000.0,92.6959237747083
pakistan,0.0,2018,pak,320.0,45.0,0.0,8.39241695404053,1620.742596025095,219731479.0,1737000000.0,93.3941654731166
pakistan,0.0,2019,pak,628.0,4866301.0,19460.0,11.3472347259521,1437.1658337701017,223293280.0,2234000000.0,94.6242055731669
panama,0.0,1978,pan,19.0,2000.0,0.0,18.8163394927979,1737.5547645199279,1867313.0,-2500000.0,71.5779582467705
panama,0.0,1982,pan,19.0,0.0,0.0,21.5527992248535,2814.1818522353647,2050247.0,366600000.0,67.6223475124537
panama,0.0,1983,pan,0.0,81000.0,0.0,20.6340007781982,2822.8538112241176,2098499.0,79400000.0,74.8702305576096
panama,0.0,1984,pan,1.0,1000.0,0.0,23.4624996185303,2879.238835208237,2147577.0,22200000.0,84.5656792213446
panama,1.0,1986,pan,2.0,6000.0,935.0,26.4895896911621,3025.3472246946985,2246960.0,126100000.0,81.3965233220898
panama,0.0,1988,pan,30.0,8732.0,148482.0,21.1326999664307,2514.1539325187055,2347821.0,-460500000.0,84.4574459567668
panama,0.0,1990,pan,20.0,0.0,0.0,21.0750694274902,2626.143280238762,2449968.0,135500000.0,83.5935434546059
